ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,time=20m
1,Which one of the following rivers originates in Brahmagiri range of Western Ghats?,Pennar,Cauvery,Krishna,Tapti,2,5,-1,y
2,The country that has the highest in Barley Production?,China,India,Russia,France,3,4,-1,y,
3,Tsunamis are not caused by,Hurricanes,Earthquakes,Undersea landslides,Volcanic eruptions,1,5,-2,n
4,5x20+13,34,-156,44,133,4,8,-3,y
5,Chambal river is a part of –, Sabarmati basin,Ganga basin,Narmada basin,Godavari basin,3,4,0,y
6,The hottest planet in the solar system?,Mercury,Venus,Mars,Jupiter,2,5,-2,y
7,Film and TV institute of India is located at,Pune (Maharashtra),Pimpri (Maharashtra),Perambur (Tamilnadu),Rajkot (Gujarat),1,5,-1,y
8,This scientist is well known for his theory of relativity. Who is he?,Thomas Alva Edison,Albert Einstein,Marconi,James Watt,2,5,-2,y
9,Which of the following Company buy eBay’s Indian operation?,Amazon,Flipkart,Snapdeal,PayTM,2,4,-1,n
10,The unit of electrical resistance of a conductor is—,farad,volt,ampere,ohm,4,5,-1,y
