ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,time=20m
1,What is the capital of India,Mumbai,Chennai,New Delhi,Kolkata,3,5,-1,n,
2,4+4 =,4,7,9,8,4,4,-1,y,
3,Capital of France,Paris,Patna,Amhara,London,1,8,-2,n,
4,What is the national bird of India,Peacock,Swan,Pigeon,Tiger,1,5,-1,n,
5,Helicopter was invented by ,Drinker,Broquet,Copernicus,Cockrell,2,5,-1,n
6,How many cards are there in a complete pack of cards?,20,32,40,52,4,5,-2,n,
7,What is the hottest continent on Earth?,Asia,Europe,Africa,South America,3,5,-1,n,
8,Which was the occupation or job of Leonardo da Vinci?,Musician,Painter,Carpenter,Dancer,2,5,-2,n,
9,Which one is not amongst the Seven Wonders of the World?,Mecca Madina,Statue of Liberty,Taj Mahal,The Great Wall of China,1,8,-2,n,
10,Which of the following birds is known for its intelligence?,Owl,Kingfisher,Sparrow,Crow,1,5,-2,n,
